"date","price"
"2017-06-16",20.2
"2017-06-17",24.47
"2017-06-18",28.75
"2017-06-19",38.08
"2017-06-20",35.56
"2017-06-21",39.53
"2017-06-22",35.57
"2017-06-23",29.95
"2017-06-24",22.15
"2017-06-25",18.63
"2017-06-26",33.03
"2017-06-27",38.85
"2017-06-28",35.28
"2017-06-29",38.08
"2017-06-30",31.99
"2017-07-01",28.44
"2017-07-02",24.18
"2017-07-03",32.42
"2017-07-04",34.89
"2017-07-05",38.84
"2017-07-06",39.36
"2017-07-07",37.32
"2017-07-08",34.4
"2017-07-09",33.13
"2017-07-10",40.05
"2017-07-11",36.58
"2017-07-12",34.64
"2017-07-13",33.87
"2017-07-14",36.81
"2017-07-15",32.5
"2017-07-16",30.42
"2017-07-17",37.45
"2017-07-18",37.66
"2017-07-19",35.91
"2017-07-20",37.23
"2017-07-21",35.93
"2017-07-22",33.32
"2017-07-23",28.77
"2017-07-24",39.34
"2017-07-25",34.14
"2017-07-26",32.8
"2017-07-27",33.74
"2017-07-28",31.36
"2017-07-29",20.43
"2017-07-30",5.15
"2017-07-31",32.21
"2017-08-01",34.74
"2017-08-02",33.05
"2017-08-03",28.07
"2017-08-04",24.56
"2017-08-05",27.99
"2017-08-06",19.53
"2017-08-07",33.26
"2017-08-08",31.29
"2017-08-09",30.27
"2017-08-10",35.51
"2017-08-11",37.73
"2017-08-12",21.68
"2017-08-13",20.14
"2017-08-14",33.08
"2017-08-15",26.63
"2017-08-16",35.89
"2017-08-17",33.48
"2017-08-18",33.68
"2017-08-19",14.72
"2017-08-20",8.7
"2017-08-21",29.3
"2017-08-22",37.22
"2017-08-23",36.57
"2017-08-24",35.65
"2017-08-25",37.85
"2017-08-26",34.33
"2017-08-27",30.45
"2017-08-28",38.66
"2017-08-29",37.62
"2017-08-30",36.19
"2017-08-31",38.46
"2017-09-01",38.8
"2017-09-02",33.93
"2017-09-03",30.83
"2017-09-04",36.55
"2017-09-05",37.66
"2017-09-06",31.87
"2017-09-07",33.4
"2017-09-08",27.24
"2017-09-09",32.15
"2017-09-10",22.97
"2017-09-11",21.47
"2017-09-12",29.43
"2017-09-13",13.61
"2017-09-14",22.69
"2017-09-15",35.03
"2017-09-16",37.03
"2017-09-17",33.39
"2017-09-18",42.07
"2017-09-19",41.33
"2017-09-20",39.15
"2017-09-21",39.26
"2017-09-22",40.07
"2017-09-23",36.24
"2017-09-24",34.95
"2017-09-25",42.36
"2017-09-26",40.44
"2017-09-27",40.88
"2017-09-28",40.3
"2017-09-29",39.72
"2017-09-30",35.62
"2017-10-01",29.81
"2017-10-02",18.31
"2017-10-03",24.48
"2017-10-04",28.61
"2017-10-05",18.03
"2017-10-06",27.25
"2017-10-07",7.55
"2017-10-08",23.45
"2017-10-09",42.39
"2017-10-10",37.32
"2017-10-11",34.26
"2017-10-12",25.38
"2017-10-13",39.55
"2017-10-14",31.5
"2017-10-15",30.75
"2017-10-16",38.55
"2017-10-17",37.54
"2017-10-18",52.55
"2017-10-19",46.35
"2017-10-20",37.76
"2017-10-21",34.24
"2017-10-22",21.85
"2017-10-23",41.42
"2017-10-24",38.13
"2017-10-25",33.77
"2017-10-26",40.43
"2017-10-27",30.45
"2017-10-28",-9.3
"2017-10-29",-52.11
"2017-10-30",31.94
"2017-10-31",36.96
"2017-11-01",30.9
"2017-11-02",34.07
"2017-11-03",50.44
"2017-11-04",34.53
"2017-11-05",30.41
"2017-11-06",51.02
"2017-11-07",52.54
"2017-11-08",67.25
"2017-11-09",51.53
"2017-11-10",31.52
"2017-11-11",23.24
"2017-11-12",33.25
"2017-11-13",45.73
"2017-11-14",40.18
"2017-11-15",64.67
"2017-11-16",47.55
"2017-11-17",42.89
"2017-11-18",19.76
"2017-11-19",9.42
"2017-11-20",38.48
"2017-11-21",49.3
"2017-11-22",31.72
"2017-11-23",23.36
"2017-11-24",42.73
"2017-11-25",40.03
"2017-11-26",18.81
"2017-11-27",29.21
"2017-11-28",37.42
"2017-11-29",71.5
"2017-11-30",67.57
"2017-12-01",61.03
"2017-12-02",40.27
"2017-12-03",33.31
"2017-12-04",34.88
"2017-12-05",35.91
"2017-12-06",31.25
"2017-12-07",34.14
"2017-12-08",30.66
"2017-12-09",15.73
"2017-12-10",17.48
"2017-12-11",41.67
"2017-12-12",34.35
"2017-12-13",26.88
"2017-12-14",31.01
"2017-12-15",46.26
"2017-12-16",37.44
"2017-12-17",35.33
"2017-12-18",55.42
"2017-12-19",60.67
"2017-12-20",61.83
"2017-12-21",43.04
"2017-12-22",39.49
"2017-12-23",11.25
"2017-12-24",-11.78
"2017-12-25",6.8
"2017-12-26",-4.59
"2017-12-27",35.17
"2017-12-28",32.48
"2017-12-29",20.87
"2017-12-30",12.89
"2017-12-31",2.6
"2018-01-01",-25.3
"2018-01-02",33.44
"2018-01-03",8.97
"2018-01-04",29.86
"2018-01-05",31.51
"2018-01-06",36.6
"2018-01-07",23.39
"2018-01-08",30.5
"2018-01-09",30.26
"2018-01-10",41.33
"2018-01-11",47.73
"2018-01-12",41.88
"2018-01-13",33.78
"2018-01-14",28.64
"2018-01-15",26.57
"2018-01-16",27.22
"2018-01-17",29.04
"2018-01-18",30.32
"2018-01-19",40.48
"2018-01-20",35.87
"2018-01-21",34.61
"2018-01-22",37.9
"2018-01-23",37.28
"2018-01-24",23.88
"2018-01-25",32.97
"2018-01-26",45.15
"2018-01-27",32.81
"2018-01-28",5.11
"2018-01-29",16.49
"2018-01-30",35.81
"2018-01-31",29.22
"2018-02-01",33.98
"2018-02-02",40.48
"2018-02-03",40.28
"2018-02-04",33.56
"2018-02-05",45.11
"2018-02-06",47.12
"2018-02-07",47.23
"2018-02-08",49.86
"2018-02-09",40.8
"2018-02-10",39.38
"2018-02-11",11.48
"2018-02-12",32.82
"2018-02-13",39.6
"2018-02-14",39.86
"2018-02-15",34.16
"2018-02-16",40.39
"2018-02-17",40.69
"2018-02-18",36.58
"2018-02-19",50.3
"2018-02-20",49.05
"2018-02-21",46.75
"2018-02-22",47.42
"2018-02-23",44.27
"2018-02-24",23.93
"2018-02-25",35.12
"2018-02-26",46.7
"2018-02-27",48.61
"2018-02-28",37.7
"2018-03-01",30.02
"2018-03-02",40.42
"2018-03-03",34.49
"2018-03-04",31.33
"2018-03-05",49.06
"2018-03-06",49.92
"2018-03-07",48.38
"2018-03-08",37.53
"2018-03-09",37.08
"2018-03-10",34.76
"2018-03-11",28.72
"2018-03-12",41.22
